iso3,period,n_attacks_strict_rm1,n_attacks_strict_rm3,n_attacks_strict_rm12,n_attacks_strict_rm36,n_attacks_strict_since_0,n_attacks_strict_ongoing_0,stock_topic_0,stock_topic_1,stock_topic_2,stock_topic_3,stock_topic_4,stock_topic_5,stock_topic_6,stock_topic_7,stock_topic_8,stock_topic_9,stock_topic_10,stock_topic_11,stock_topic_12,stock_topic_13,stock_topic_14,gdp_pc_growth,unemployment_rate,govt_expenditure_gdp,inflation_cpi,democracy_index,ongoing_conflict
AFG,201001,0.0,0.0,0.0,0.0,0,1,0.0154943752888313,0.0281334273663314,0.149827836330493,0.0454805752822803,0.070855238710791,0.0202261966676265,0.1757320331369654,0.0525803227725629,0.0197995085503839,0.0047608868956598,0.0229143187690923,0.0365790563268835,0.088707875655592,0.0606457185764204,0.2082626304042389,11.0550305527288,7.809,50.8630045999057,2.17853752389418,0.347,1
AFG,201002,27.0,27.0,27.0,27.0,0,1,0.015619089911839,0.0289516961720015,0.1586568203032069,0.041377818912648,0.0705686724814573,0.0207365667394136,0.1646172713606755,0.0497145571911409,0.0212670306131494,0.0048449413730555,0.0219151292229016,0.0381967350338903,0.0930112840086216,0.061758657103837,0.2087637299356186,11.0550305527288,7.809,50.8630045999057,2.17853752389418,0.347,1
AFG,201003,26.0,26.5,26.5,26.5,0,1,0.0149698960882473,0.0299252800623927,0.1537575042168899,0.0381897984766676,0.0642744920276476,0.0214168182006531,0.1566930121154941,0.0519599829338841,0.0259523243816797,0.0049366198081837,0.0211648646113993,0.0397989491149138,0.0937817741282447,0.0668461297730023,0.2163325547570067,11.0550305527288,7.809,50.8630045999057,2.17853752389418,0.347,1
AFG,201004,31.0,28.0,28.0,28.0,0,1,0.015099380256856,0.0318102043197166,0.1594170330353889,0.037714523308936,0.0633522825702414,0.0217345512149941,0.1539071411211882,0.0525027177924805,0.0257883962527505,0.0048787753837046,0.0215415478003944,0.0405950090681317,0.0941160537560425,0.0664959104029169,0.2110464738024624,11.0550305527288,7.809,50.8630045999057,2.17853752389418,0.347,1
AFG,201005,30.0,29.0,28.5,28.5,0,1,0.0149077933632221,0.0349017819534942,0.1653382294366603,0.0344514678996228,0.0625741140546483,0.022843820356779,0.1489597482361685,0.0513602405462451,0.0253758846011734,0.0046165619821529,0.0222034074796607,0.0407294675014023,0.09827619170969,0.0671440912371893,0.2063171997758729,11.0550305527288,7.809,50.8630045999057,2.17853752389418,0.347,1
AFG,201006,70.0,43.666666666666664,36.8,36.8,0,1,0.0147457501688385,0.0338581656492887,0.1644173925087819,0.0335371536946539,0.0610410850687543,0.0242334178029287,0.1596625171120947,0.051665560828352,0.0244375345046502,0.0045420483650623,0.0237928779309317,0.0422418987544108,0.0954331354272147,0.0660115875750244,0.2003798738490128,11.0550305527288,7.809,50.8630045999057,2.17853752389418,0.347,1
AFG,201007,52.0,50.666666666666664,39.333333333333336,39.333333333333336,0,1,0.0140354785900499,0.0339605659438975,0.158568739471121,0.0318507686810196,0.058129200117021,0.025471195192012,0.1542469319588181,0.0508289280722618,0.0241881995483616,0.0048726574887025,0.0253835583692654,0.0449314415893756,0.0924853494876113,0.074080541786417,0.2069664435183962,11.0550305527288,7.809,50.8630045999057,2.17853752389418,0.347,1
AFG,201008,42.0,54.666666666666664,39.714285714285715,39.714285714285715,0,1,0.0149304323408768,0.0332750764228622,0.1654991491696649,0.0305453759559504,0.056293252379557,0.024746313627995,0.1528570986506897,0.0535856289038742,0.0242082283675707,0.0046340136436497,0.0254795174711975,0.0441257820800841,0.094135196056655,0.0700555997143803,0.2056293349296765,11.0550305527288,7.809,50.8630045999057,2.17853752389418,0.347,1
AFG,201009,51.0,48.333333333333336,41.125,41.125,0,1,0.0157294154515824,0.0317284023546879,0.1637159204012306,0.0337949068330644,0.0562893655448826,0.0241371767652167,0.1486598737118629,0.0554821327668881,0.0246937890688448,0.0045483335348789,0.0324970545247046,0.043195935226567,0.0943865076485821,0.0657608274056605,0.2053803585897345,11.0550305527288,7.809,50.8630045999057,2.17853752389418,0.347,1
AFG,201010,117.0,70.0,49.55555555555556,49.55555555555556,0,1,0.0160448227118867,0.0328710783974999,0.1626263657176052,0.0328682233885556,0.0577648589617627,0.02539074176626,0.1441303646395939,0.0557898844688341,0.0248940545514448,0.0042357653140306,0.0307378605536587,0.0429002149999612,0.097709507221045,0.0661261742334217,0.205910082383088,11.0550305527288,7.809,50.8630045999057,2.17853752389418,0.347,1
